Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,58.031088082901555,-352.51798561151077,1463.033
Partición 1-2,70.98445595854922,-720.863309352518,1493.901
Partición 2-1,69.94818652849742,-306.47482014388487,1460.158
Partición 2-2,61.13989637305699,-582.3741007194244,1504.323
Partición 3-1,66.32124352331606,-239.92805755395685,1480.615
Partición 3-2,67.35751295336787,-103.59712230215827,1438.002
Partición 4-1,66.83937823834196,-568.3453237410072,1510.381
Partición 4-2,59.58549222797927,-248.20143884892087,1451.753
Partición 5-1,68.39378238341969,-506.47482014388487,1478.733
Partición 5-2,64.76683937823834,-142.80575539568346,1439.837
Media,65.33678756476684,-377.1582733812949,1472.0736000000002
