Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,57.512953367875646,54.31654676258993,2171.686
Partición 1-2,67.87564766839378,52.15827338129496,1681.095
Partición 2-1,60.62176165803109,54.31654676258993,1526.189
Partición 2-2,69.43005181347151,47.84172661870504,1580.934
Partición 3-1,68.39378238341969,48.92086330935252,1468.365
Partición 3-2,60.62176165803109,53.9568345323741,1683.905
Partición 4-1,64.24870466321244,47.84172661870504,2100.232
Partición 4-2,63.73056994818653,46.76258992805755,2137.834
Partición 5-1,60.10362694300518,56.83453237410072,2579.357
Partición 5-2,67.87564766839378,55.03597122302158,1658.133
Media,64.04145077720207,51.79856115107913,1858.7730000000004
