Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,65.28497409326425,48.56115107913669,2228.532
Partición 1-2,62.69430051813472,47.12230215827338,1893.633
Partición 2-1,59.58549222797927,55.03597122302158,1768.696
Partición 2-2,66.32124352331606,48.201438848920866,1797.324
Partición 3-1,61.6580310880829,50.35971223021583,1835.627
Partición 3-2,65.80310880829016,45.68345323741007,1891.617
Partición 4-1,61.13989637305699,43.52517985611511,1847.484
Partición 4-2,58.031088082901555,48.201438848920866,1861.277
Partición 5-1,61.13989637305699,51.798561151079134,1737.024
Partición 5-2,63.21243523316062,49.280575539568346,1761.401
Media,62.48704663212435,48.77697841726619,1862.2615
