Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,77.20207253886011,96.0431654676259,882.393
Partición 1-2,72.53886010362694,94.60431654676259,1031.753
Partición 2-1,74.09326424870466,94.96402877697842,1034.95
Partición 2-2,69.94818652849742,94.60431654676259,1131.108
Partición 3-1,71.50259067357513,93.88489208633094,1086.676
Partición 3-2,72.53886010362694,96.0431654676259,1051.012
Partición 4-1,72.02072538860104,95.32374100719424,979.046
Partición 4-2,74.61139896373057,93.16546762589928,922.094
Partición 5-1,74.61139896373057,93.88489208633094,1247.191
Partición 5-2,73.57512953367876,93.88489208633094,1074.304
Media,73.26424870466322,94.64028776978418,1044.0527
