Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,72.02072538860104,98.56115107913669,104.438
Partición 1-2,69.94818652849742,98.92086330935251,74.25
Partición 2-1,64.24870466321244,97.84172661870504,126.288
Partición 2-2,72.02072538860104,97.4820143884892,146.733
Partición 3-1,22.797927461139896,98.92086330935251,72.962
Partición 3-2,72.02072538860104,97.12230215827338,171.168
Partición 4-1,68.39378238341969,96.40287769784173,201.284
Partición 4-2,74.09326424870466,98.56115107913669,90.28
Partición 5-1,75.12953367875647,97.12230215827338,143.869
Partición 5-2,73.57512953367876,97.12230215827338,154.525
Media,66.42487046632125,97.80575539568346,128.5797
