Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,65.28497409326425,48.56115107913669,2804.111
Partición 1-2,62.69430051813472,47.12230215827338,2239.5
Partición 2-1,59.58549222797927,55.03597122302158,2203.75
Partición 2-2,66.32124352331606,48.201438848920866,1997.665
Partición 3-1,61.6580310880829,50.35971223021583,1916.014
Partición 3-2,65.80310880829016,45.68345323741007,1894.98
Partición 4-1,61.13989637305699,43.52517985611511,1854.196
Partición 4-2,58.031088082901555,48.201438848920866,1854.773
Partición 5-1,61.13989637305699,51.798561151079134,1746.643
Partición 5-2,63.21243523316062,49.280575539568346,1754.397
Media,62.48704663212435,48.77697841726619,2026.6028999999999
