Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,63.21243523316062,45.32374100719424,2717.402
Partición 1-2,62.69430051813472,44.96402877697842,2324.424
Partición 2-1,61.6580310880829,52.15827338129496,2185.451
Partición 2-2,61.13989637305699,51.07913669064748,2238.612
Partición 3-1,61.6580310880829,44.96402877697842,2337.653
Partición 3-2,67.87564766839378,52.87769784172662,2008.115
Partición 4-1,63.21243523316062,57.194244604316545,1858.113
Partición 4-2,62.17616580310881,51.43884892086331,2296.42
Partición 5-1,62.17616580310881,51.798561151079134,2276.05
Partición 5-2,66.32124352331606,53.23741007194245,2233.166
Media,63.21243523316061,50.50359712230216,2247.5406
