Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,69.44444444444444,-200.0,111.355
Partición 1-2,65.55555555555556,-458.8888888888889,93.38
Partición 2-1,67.22222222222223,-862.2222222222222,103.059
Partición 2-2,71.66666666666667,60.0,88.746
Partición 3-1,80.0,53.333333333333336,95.472
Partición 3-2,65.0,-216.66666666666666,96.034
Partición 4-1,72.77777777777777,-420.0,114.109
Partición 4-2,73.33333333333333,-1027.7777777777778,121.353
Partición 5-1,68.33333333333333,13.333333333333334,142.329
Partición 5-2,70.55555555555556,-892.2222222222222,157.662
Media,70.38888888888889,-395.11111111111114,112.3499
