Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,76.11111111111111,55.55555555555556,489.381
Partición 1-2,66.66666666666667,61.111111111111114,510.745
Partición 2-1,66.66666666666667,46.666666666666664,408.092
Partición 2-2,70.55555555555556,42.22222222222222,390.532
Partición 3-1,71.11111111111111,45.55555555555556,515.766
Partición 3-2,68.33333333333333,67.77777777777777,475.058
Partición 4-1,72.22222222222223,44.44444444444444,386.418
Partición 4-2,66.11111111111111,52.22222222222222,377.024
Partición 5-1,70.55555555555556,57.77777777777778,376.772
Partición 5-2,75.0,42.22222222222222,445.0
Media,70.33333333333333,51.55555555555556,437.4788
