Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,70.0,46.666666666666664,450.629
Partición 1-2,73.33333333333333,54.44444444444444,462.268
Partición 2-1,74.44444444444444,56.666666666666664,410.753
Partición 2-2,65.0,47.77777777777778,463.103
Partición 3-1,73.88888888888889,51.111111111111114,405.062
Partición 3-2,64.44444444444444,53.333333333333336,458.283
Partición 4-1,70.55555555555556,48.888888888888886,464.53
Partición 4-2,67.22222222222223,55.55555555555556,441.526
Partición 5-1,67.77777777777777,56.666666666666664,431.669
Partición 5-2,65.0,50.0,444.956
Media,69.16666666666667,52.11111111111111,443.27789999999993
