Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,71.66666666666667,82.22222222222223,131.396
Partición 1-2,68.88888888888889,83.33333333333333,177.039
Partición 2-1,71.11111111111111,80.0,200.24
Partición 2-2,68.88888888888889,74.44444444444444,166.653
Partición 3-1,77.22222222222223,84.44444444444444,165.951
Partición 3-2,70.0,83.33333333333333,203.596
Partición 4-1,71.11111111111111,82.22222222222223,203.226
Partición 4-2,71.11111111111111,84.44444444444444,203.555
Partición 5-1,62.22222222222222,84.44444444444444,185.319
Partición 5-2,65.55555555555556,83.33333333333333,166.636
Media,69.77777777777777,82.22222222222223,180.36110000000002
