Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,68.88888888888889,46.666666666666664,466.166
Partición 1-2,70.55555555555556,51.111111111111114,443.126
Partición 2-1,69.44444444444444,44.44444444444444,495.936
Partición 2-2,67.77777777777777,40.0,434.899
Partición 3-1,74.44444444444444,52.22222222222222,461.059
Partición 3-2,67.22222222222223,47.77777777777778,457.736
Partición 4-1,74.44444444444444,53.333333333333336,420.854
Partición 4-2,68.33333333333333,60.0,387.772
Partición 5-1,66.66666666666667,48.888888888888886,498.513
Partición 5-2,70.0,48.888888888888886,461.393
Media,69.77777777777779,49.333333333333336,452.74539999999996
