Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,72.22222222222223,47.77777777777778,483.078
Partición 1-2,68.33333333333333,51.111111111111114,413.394
Partición 2-1,69.44444444444444,51.111111111111114,425.151
Partición 2-2,71.11111111111111,55.55555555555556,407.325
Partición 3-1,75.0,44.44444444444444,365.033
Partición 3-2,66.66666666666667,52.22222222222222,602.561
Partición 4-1,66.66666666666667,43.333333333333336,568.858
Partición 4-2,72.77777777777777,54.44444444444444,531.985
Partición 5-1,65.0,55.55555555555556,590.151
Partición 5-2,69.44444444444444,55.55555555555556,559.975
Media,69.66666666666666,51.11111111111111,494.7511000000001
