Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,70.0,56.666666666666664,530.359
Partición 1-2,71.66666666666667,44.44444444444444,781.64
Partición 2-1,65.0,60.0,617.273
Partición 2-2,75.55555555555556,47.77777777777778,728.861
Partición 3-1,71.66666666666667,57.77777777777778,615.89
Partición 3-2,71.11111111111111,55.55555555555556,691.601
Partición 4-1,78.33333333333333,53.333333333333336,665.66
Partición 4-2,68.33333333333333,53.333333333333336,524.015
Partición 5-1,71.11111111111111,51.111111111111114,539.537
Partición 5-2,75.0,53.333333333333336,460.171
Media,71.77777777777777,53.333333333333336,615.5007
