Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,96.12676056338029,53.333333333333336,23.205
Partición 1-2,92.63157894736842,53.333333333333336,20.571
Partición 2-1,97.1830985915493,33.333333333333336,49.391
Partición 2-2,94.03508771929825,46.666666666666664,57.945
Partición 3-1,96.47887323943662,46.666666666666664,57.883
Partición 3-2,94.73684210526316,46.666666666666664,55.803
Partición 4-1,96.12676056338029,50.0,58.149
Partición 4-2,92.98245614035088,50.0,50.746
Partición 5-1,96.47887323943662,50.0,51.401
Partición 5-2,93.6842105263158,40.0,43.756
Media,95.04645416357798,47.0,46.885000000000005
