Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,95.77464788732394,50.0,385.797
Partición 1-2,95.43859649122807,23.333333333333332,361.738
Partición 2-1,95.07042253521126,46.666666666666664,322.149
Partición 2-2,94.73684210526316,60.0,351.292
Partición 3-1,94.36619718309859,40.0,398.329
Partición 3-2,96.49122807017544,60.0,352.329
Partición 4-1,96.83098591549296,46.666666666666664,385.95
Partición 4-2,94.73684210526316,43.333333333333336,401.164
Partición 5-1,95.77464788732394,26.666666666666668,465.509
Partición 5-2,95.08771929824562,40.0,387.92
Media,95.43081294786262,43.66666666666667,381.2177
