Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,96.12676056338029,33.333333333333336,337.041
Partición 1-2,92.63157894736842,40.0,403.86
Partición 2-1,96.83098591549296,53.333333333333336,521.958
Partición 2-2,94.3859649122807,56.666666666666664,555.581
Partición 3-1,97.53521126760563,46.666666666666664,451.382
Partición 3-2,94.3859649122807,40.0,476.275
Partición 4-1,95.4225352112676,46.666666666666664,304.983
Partición 4-2,95.43859649122807,50.0,342.083
Partición 5-1,98.59154929577464,50.0,416.544
Partición 5-2,91.2280701754386,40.0,475.407
Media,95.25772176921176,45.66666666666667,428.51140000000004
