Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,94.36619718309859,66.66666666666667,53.91
Partición 1-2,94.73684210526316,76.66666666666667,49.857
Partición 2-1,94.36619718309859,66.66666666666667,46.829
Partición 2-2,93.6842105263158,76.66666666666667,53.19
Partición 3-1,96.47887323943662,46.666666666666664,50.732
Partición 3-2,96.84210526315789,70.0,61.803
Partición 4-1,96.83098591549296,63.333333333333336,65.291
Partición 4-2,92.63157894736842,60.0,48.853
Partición 5-1,97.53521126760563,73.33333333333333,47.038
Partición 5-2,94.73684210526316,70.0,48.411
Media,95.22090437361008,67.00000000000001,52.5914
