Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,95.4225352112676,46.666666666666664,26.633
Partición 1-2,96.49122807017544,30.0,29.346
Partición 2-1,95.77464788732394,60.0,22.948
Partición 2-2,95.43859649122807,30.0,32.588
Partición 3-1,96.47887323943662,43.333333333333336,27.878
Partición 3-2,97.89473684210526,46.666666666666664,27.192
Partición 4-1,96.47887323943662,26.666666666666668,29.217
Partición 4-2,94.73684210526316,50.0,25.221
Partición 5-1,96.83098591549296,43.333333333333336,24.43
Partición 5-2,94.03508771929825,66.66666666666667,21.995
Media,95.95824067210279,44.333333333333336,26.744799999999998
