Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,94.71830985915493,50.0,408.058
Partición 1-2,95.78947368421052,60.0,342.7
Partición 2-1,95.4225352112676,40.0,381.02
Partición 2-2,94.3859649122807,36.666666666666664,394.217
Partición 3-1,93.66197183098592,36.666666666666664,448.106
Partición 3-2,95.78947368421052,53.333333333333336,442.366
Partición 4-1,96.12676056338029,50.0,375.013
Partición 4-2,95.08771929824562,33.333333333333336,372.708
Partición 5-1,95.4225352112676,50.0,322.973
Partición 5-2,93.6842105263158,33.333333333333336,420.37
Media,95.00889547813196,44.33333333333333,390.75309999999996
