Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,96.47887323943662,60.0,5.783
Partición 1-2,96.84210526315789,50.0,6.153
Partición 2-1,97.1830985915493,43.333333333333336,5.2
Partición 2-2,94.03508771929825,46.666666666666664,5.489
Partición 3-1,91.19718309859155,66.66666666666667,4.964
Partición 3-2,96.49122807017544,56.666666666666664,6.197
Partición 4-1,95.77464788732394,40.0,5.941
Partición 4-2,91.57894736842105,53.333333333333336,4.924
Partición 5-1,96.12676056338029,43.333333333333336,5.187
Partición 5-2,95.08771929824562,53.333333333333336,5.252
Media,95.079565109958,51.333333333333336,5.509
