Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,56.994818652849744,52.51798561151079,1791.576
Partición 1-2,71.50259067357513,59.35251798561151,1795.453
Partición 2-1,63.73056994818653,51.798561151079134,1797.915
Partición 2-2,61.6580310880829,44.60431654676259,1873.818
Partición 3-1,63.21243523316062,51.07913669064748,1716.266
Partición 3-2,57.512953367875646,46.76258992805755,1898.207
Partición 4-1,63.73056994818653,50.35971223021583,1877.303
Partición 4-2,67.35751295336787,48.201438848920866,1839.052
Partición 5-1,63.73056994818653,55.39568345323741,1900.16
Partición 5-2,63.21243523316062,47.12230215827338,2002.21
Media,63.26424870466322,50.719424460431654,1849.196
