Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,66.32124352331606,47.12230215827338,1790.677
Partición 1-2,62.69430051813472,48.56115107913669,1768.997
Partición 2-1,60.62176165803109,47.48201438848921,1755.608
Partición 2-2,62.69430051813472,47.12230215827338,1687.165
Partición 3-1,69.43005181347151,48.92086330935252,1772.775
Partición 3-2,62.69430051813472,52.15827338129496,1785.188
Partición 4-1,59.58549222797927,45.32374100719424,1728.802
Partición 4-2,68.9119170984456,50.35971223021583,1913.634
Partición 5-1,65.28497409326425,52.15827338129496,1709.091
Partición 5-2,59.58549222797927,52.51798561151079,1892.485
Media,63.78238341968913,49.1726618705036,1780.4422
