Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,75.0,52.22222222222222,411.843
Partición 1-2,71.11111111111111,42.22222222222222,460.765
Partición 2-1,67.22222222222223,44.44444444444444,433.948
Partición 2-2,73.88888888888889,60.0,420.909
Partición 3-1,68.88888888888889,51.111111111111114,434.091
Partición 3-2,68.88888888888889,51.111111111111114,473.073
Partición 4-1,71.11111111111111,44.44444444444444,460.889
Partición 4-2,67.77777777777777,52.22222222222222,488.551
Partición 5-1,68.33333333333333,53.333333333333336,446.886
Partición 5-2,75.0,50.0,434.702
Media,70.72222222222223,50.11111111111111,446.5657
