Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,71.11111111111111,53.333333333333336,391.114
Partición 1-2,72.77777777777777,48.888888888888886,460.832
Partición 2-1,67.77777777777777,51.111111111111114,437.954
Partición 2-2,70.0,56.666666666666664,414.763
Partición 3-1,63.888888888888886,38.888888888888886,483.894
Partición 3-2,78.88888888888889,48.888888888888886,444.866
Partición 4-1,73.88888888888889,45.55555555555556,457.674
Partición 4-2,68.88888888888889,52.22222222222222,444.273
Partición 5-1,68.33333333333333,55.55555555555556,389.971
Partición 5-2,70.55555555555556,50.0,457.098
Media,70.61111111111111,50.11111111111111,438.24390000000005
