Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,72.22222222222223,47.77777777777778,442.689
Partición 1-2,66.11111111111111,53.333333333333336,407.924
Partición 2-1,70.55555555555556,46.666666666666664,429.737
Partición 2-2,67.22222222222223,52.22222222222222,431.389
Partición 3-1,75.55555555555556,62.22222222222222,443.405
Partición 3-2,67.22222222222223,52.22222222222222,399.803
Partición 4-1,68.88888888888889,52.22222222222222,442.003
Partición 4-2,71.66666666666667,51.111111111111114,410.927
Partición 5-1,67.77777777777777,58.888888888888886,372.197
Partición 5-2,68.88888888888889,47.77777777777778,444.451
Media,69.61111111111111,52.44444444444446,422.45250000000004
