Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,95.77464788732394,50.0,327.247
Partición 1-2,95.08771929824562,23.333333333333332,329.929
Partición 2-1,96.83098591549296,46.666666666666664,356.962
Partición 2-2,94.3859649122807,50.0,321.97
Partición 3-1,94.71830985915493,40.0,332.441
Partición 3-2,96.49122807017544,60.0,370.723
Partición 4-1,96.83098591549296,46.666666666666664,347.54
Partición 4-2,95.78947368421052,43.333333333333336,346.3
Partición 5-1,95.77464788732394,50.0,362.837
Partición 5-2,95.78947368421052,40.0,275.688
Media,95.74734371139115,45.0,337.1637
