Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,95.07042253521126,50.0,337.743
Partición 1-2,95.78947368421052,33.333333333333336,355.299
Partición 2-1,95.77464788732394,53.333333333333336,378.502
Partición 2-2,94.03508771929825,36.666666666666664,299.41
Partición 3-1,97.1830985915493,60.0,369.241
Partición 3-2,95.43859649122807,30.0,311.072
Partición 4-1,96.83098591549296,50.0,425.1
Partición 4-2,94.03508771929825,46.666666666666664,325.7
Partición 5-1,94.71830985915493,50.0,270.086
Partición 5-2,94.03508771929825,33.333333333333336,381.136
Media,95.29107981220656,44.333333333333336,345.3288999999999
