Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,95.07042253521126,50.0,501.66
Partición 1-2,95.78947368421052,33.333333333333336,401.151
Partición 2-1,96.47887323943662,40.0,464.078
Partición 2-2,95.08771929824562,50.0,389.117
Partición 3-1,97.1830985915493,60.0,466.005
Partición 3-2,95.43859649122807,30.0,335.521
Partición 4-1,95.77464788732394,30.0,470.225
Partición 4-2,94.03508771929825,46.666666666666664,352.6
Partición 5-1,96.83098591549296,63.333333333333336,328.103
Partición 5-2,94.3859649122807,43.333333333333336,403.805
Media,95.60748702742771,44.66666666666667,411.22650000000004
