Nombre,Tasa de acierto(%),Tasa de reducción(%),Tiempo(s)
Partición 1-1,96.12676056338029,33.333333333333336,412.279
Partición 1-2,92.63157894736842,40.0,554.487
Partición 2-1,96.83098591549296,53.333333333333336,604.091
Partición 2-2,94.3859649122807,56.666666666666664,666.211
Partición 3-1,97.53521126760563,46.666666666666664,419.537
Partición 3-2,94.3859649122807,40.0,410.648
Partición 4-1,95.4225352112676,46.666666666666664,317.289
Partición 4-2,95.43859649122807,50.0,348.561
Partición 5-1,98.59154929577464,50.0,403.339
Partición 5-2,91.2280701754386,40.0,354.38
Media,95.25772176921176,45.66666666666667,449.0822000000001
